time,url clicks,average clicks
2021-04-16,17534.0,18801.285714285714
2021-04-17,13061.0,18520.14285714286
2021-04-18,13302.0,18007.85714285714
2021-04-19,11230.0,17408.85714285714
2021-04-20,15109.0,16190.285714285714
2021-04-21,11103.0,15040.142857142857
2021-04-22,8162.0,12785.857142857143
2021-04-23,9621.0,11655.42857142857
2021-04-24,14193.0,11817.142857142857
2021-04-25,10682.0,11442.857142857143
2021-04-26,10230.0,11300.0
2021-04-27,18557.0,11792.57142857143
2021-04-28,8787.0,11461.714285714286
2021-04-29,15070.0,12448.57142857143
2021-04-30,8967.0,12355.142857142857
