,Total sessions,Subscriber sessions,Non-subscriber sessions,% sessions non subscriber
64,101173.33333333333,28786.666666666668,72386.66666666667,70.83298018457428
65,104183.33333333333,29041.0,75142.33333333333,71.33559374139135
66,105458.61904761905,29178.904761904763,76279.71428571429,71.58279191269737
67,104645.71428571429,28885.761904761905,75759.95238095238,71.6177501283961
68,104782.52380952382,28709.095238095237,76073.42857142857,71.83483386594145
69,106048.47619047618,28642.904761904763,77405.57142857143,72.14779846537284
70,108964.80952380953,28782.095238095237,80182.71428571429,72.70884022229872
71,110442.23809523809,28644.14285714286,81798.09523809524,73.19996975433153
72,111065.19047619047,28503.666666666668,82561.52380952382,73.37890060818303
73,110417.38095238095,28398.285714285714,82019.09523809524,73.37299241216417
74,109306.90476190476,28152.809523809523,81154.09523809524,73.35288520888409
75,109436.28571428571,28032.238095238095,81404.04761904762,73.52964659089722
76,109235.47619047618,27854.619047619046,81380.85714285714,73.65852302635491
77,109950.14285714286,27781.04761904762,82169.09523809524,74.01708990499266
78,112278.38095238095,27678.571428571428,84599.80952380953,74.68928247824745
79,116012.90476190476,27509.04761904762,88503.85714285714,75.51490767097177
80,119927.95238095238,27257.333333333332,92670.61904761905,76.35860283687344
81,119754.76190476191,26887.714285714286,92867.04761904762,76.59833392287013
82,121489.90476190476,26796.85714285714,94693.04761904762,77.04527908839012
83,127234.14285714286,26834.380952380954,100399.76190476191,77.69269943870479
84,131808.2380952381,27069.14285714286,104739.09523809524,78.28142781424444
85,135573.57142857142,27213.809523809523,108359.76190476191,78.84978004310337
86,136550.2380952381,27500.14285714286,109050.09523809524,78.8008618706617
87,137246.09523809524,27650.238095238095,109595.85714285714,78.83112886695415
88,143595.52380952382,27912.85714285714,115682.66666666667,79.55096581763512
89,149278.38095238095,28050.238095238095,121228.14285714286,80.18570010730069
90,149572.2380952381,28136.285714285714,121435.95238095238,80.16760289896465
91,148054.52380952382,28073.238095238095,119981.28571428571,79.9536558543208
92,147101.7142857143,28112.04761904762,118989.66666666667,79.71657511284172
93,147557.66666666666,28382.809523809523,119174.85714285714,79.60124472842907
94,145533.52380952382,28620.666666666668,116912.85714285714,79.03427852307189
95,145931.09523809524,28968.619047619046,116962.47619047618,78.8405092224304
96,146833.38095238095,29251.14285714286,117582.23809523809,78.81531305171163
97,148229.33333333334,29515.14285714286,118714.19047619047,78.903918559559
98,149116.2380952381,29841.190476190477,119275.04761904762,78.78139104661392
99,148833.04761904763,30226.666666666668,118606.38095238095,78.43285197672675
100,146344.61904761905,30495.761904761905,115848.85714285714,77.87236845367336
101,144164.33333333334,30901.619047619046,113262.71428571429,77.33168415717412
102,145332.57142857142,31342.95238095238,113989.61904761905,77.22726791846507
103,145560.09523809524,31631.238095238095,113928.85714285714,77.05209005018311
