,Twitter sessions,Twitter clicks
2020-03-09,18466.0,3459.4285714285716
2020-03-10,19658.571428571428,3598.4285714285716
2020-03-11,20257.14285714286,3628.714285714286
2020-03-12,26331.714285714286,5033.0
2020-03-13,27808.285714285714,5427.285714285715
2020-03-14,26709.714285714286,5548.0
2020-03-15,24601.285714285714,4793.142857142857
2020-03-16,23055.285714285714,4512.0
2020-03-17,24266.285714285714,4370.571428571428
2020-03-18,24973.571428571428,4523.142857142857
2020-03-19,22344.85714285714,3481.285714285714
2020-03-20,24705.0,3980.1428571428573
2020-03-21,25905.428571428572,3822.5714285714284
2020-03-22,25453.85714285714,4341.285714285715
2020-03-23,29899.285714285714,4692.428571428572
2020-03-24,29658.714285714286,4965.0
2020-03-25,29226.85714285714,4859.571428571428
2020-03-26,29830.85714285714,4903.142857142857
2020-03-27,29161.0,4529.714285714285
2020-03-28,27148.428571428572,5017.285714285715
2020-03-29,27504.0,4339.428571428572
2020-03-30,26242.714285714286,4107.714285714285
2020-03-31,27383.571428571428,4360.285714285715
2020-04-01,27730.14285714286,4309.714285714285
2020-04-02,25962.0,4458.571428571428
2020-04-03,25035.428571428572,4214.857142857143
2020-04-04,24628.428571428572,3427.8571428571427
2020-04-05,25077.285714285714,4039.0
2020-04-06,25141.0,4956.285714285715
2020-04-07,24002.285714285714,4575.0
2020-04-08,23682.428571428572,4631.857142857143
2020-04-09,23205.571428571428,4319.428571428572
2020-04-10,22743.85714285714,4342.571428571428
2020-04-11,20503.428571428572,3945.0
2020-04-12,18780.714285714286,3434.4285714285716
2020-04-13,15884.285714285714,2592.285714285714
2020-04-14,15985.857142857143,2583.714285714286
2020-04-15,18061.714285714286,2909.714285714286
2020-04-16,20305.285714285714,3360.8571428571427
2020-04-17,21099.285714285714,3155.8571428571427
2020-04-18,22083.571428571428,3348.4285714285716
2020-04-19,22995.85714285714,3347.8571428571427
2020-04-20,25200.85714285714,3523.8571428571427
2020-04-21,27983.285714285714,3697.1428571428573
2020-04-22,28314.285714285714,3580.8571428571427
2020-04-23,27496.428571428572,3062.5714285714284
2020-04-24,26428.285714285714,3112.8571428571427
2020-04-25,26942.285714285714,3403.285714285714
2020-04-26,25674.0,3966.5714285714284
2020-04-27,24159.85714285714,3896.4285714285716
2020-04-28,20368.714285714286,3661.4285714285716
2020-04-29,18661.285714285714,3593.714285714286
2020-04-30,20047.85714285714,4231.571428571428
2020-05-01,20431.14285714286,4594.285714285715
2020-05-02,20968.14285714286,6255.571428571428
2020-05-03,21172.714285714286,5739.571428571428
2020-05-04,22089.571428571428,5842.714285714285
2020-05-05,24896.714285714286,5965.857142857143
2020-05-06,25605.285714285714,6044.428571428572
2020-05-07,23528.14285714286,5448.571428571428
2020-05-08,24868.14285714286,5159.285714285715
2020-05-09,26314.714285714286,3793.4285714285716
2020-05-10,26932.14285714286,3777.4285714285716
2020-05-11,27069.0,3578.1428571428573
2020-05-12,25119.714285714286,3441.1428571428573
2020-05-13,26625.14285714286,3326.4285714285716
2020-05-14,27102.571428571428,3174.8571428571427
2020-05-15,25992.571428571428,2993.0
2020-05-16,23134.85714285714,2453.285714285714
2020-05-17,23000.428571428572,2422.4285714285716
2020-05-18,24212.14285714286,2791.5714285714284
2020-05-19,25548.14285714286,2955.714285714286
2020-05-20,23769.285714285714,2733.285714285714
2020-05-21,23322.571428571428,3024.4285714285716
2020-05-22,25741.714285714286,3263.714285714286
2020-05-23,44490.142857142855,3731.4285714285716
2020-05-24,50938.857142857145,3921.5714285714284
2020-05-25,52921.28571428572,3943.1428571428573
2020-05-26,54372.142857142855,4514.0
2020-05-27,56847.0,4688.142857142857
2020-05-28,69081.57142857143,4430.285714285715
2020-05-29,76773.42857142857,4813.571428571428
2020-05-30,60939.0,4863.857142857143
2020-05-31,54474.42857142857,4726.428571428572
2020-06-01,51149.57142857143,4454.428571428572
2020-06-02,63263.28571428572,4025.0
2020-06-03,61037.28571428572,4150.428571428572
2020-06-04,51460.57142857143,4652.428571428572
2020-06-05,42630.57142857143,4438.571428571428
2020-06-06,45515.28571428572,3785.714285714286
2020-06-07,48425.28571428572,3673.0
2020-06-08,52722.0,4793.285714285715
2020-06-09,39942.0,5010.142857142857
2020-06-10,41937.0,5417.285714285715
2020-06-11,42119.142857142855,5599.857142857143
2020-06-12,43517.71428571428,5676.714285714285
2020-06-13,40553.42857142857,5957.0
2020-06-14,37934.71428571428,5900.571428571428
2020-06-15,36777.28571428572,4985.428571428572
2020-06-16,36131.42857142857,4789.714285714285
2020-06-17,34079.42857142857,4434.0
2020-06-18,38389.71428571428,8103.428571428572
2020-06-19,39472.142857142855,10547.42857142857
2020-06-20,37895.0,11265.857142857143
2020-06-21,37864.71428571428,11573.42857142857
2020-06-22,34399.71428571428,11432.857142857143
2020-06-23,37396.71428571428,11598.42857142857
2020-06-24,37898.42857142857,11826.285714285714
2020-06-25,30712.285714285714,7907.571428571428
2020-06-26,26803.14285714286,6083.571428571428
2020-06-27,28719.0,5721.571428571428
2020-06-28,28870.571428571428,5964.142857142857
2020-06-29,29304.714285714286,6358.857142857143
2020-06-30,26172.85714285714,6174.142857142857
2020-07-01,26446.714285714286,5791.857142857143
2020-07-02,29724.85714285714,5682.0
2020-07-03,31287.428571428572,5295.0
2020-07-04,29489.571428571428,5324.428571428572
2020-07-05,29565.428571428572,5354.857142857143
2020-07-06,29577.85714285714,5404.142857142857
2020-07-07,28719.285714285714,5452.714285714285
2020-07-08,27088.85714285714,5505.142857142857
2020-07-09,24941.0,5746.714285714285
2020-07-10,23604.14285714286,5694.142857142857
2020-07-11,23606.714285714286,5211.285714285715
2020-07-12,24170.428571428572,5635.0
2020-07-13,23711.714285714286,4935.428571428572
2020-07-14,23930.714285714286,4544.857142857143
2020-07-15,25874.714285714286,4831.714285714285
2020-07-16,27877.14285714286,5180.428571428572
2020-07-17,29063.714285714286,4864.0
2020-07-18,27810.0,5065.857142857143
2020-07-19,27342.714285714286,4775.0
2020-07-20,28215.0,5265.714285714285
2020-07-21,28802.428571428572,5729.857142857143
2020-07-22,26829.714285714286,5410.714285714285
2020-07-23,22805.714285714286,4719.0
2020-07-24,21682.85714285714,5447.857142857143
2020-07-25,21382.428571428572,5214.857142857143
