,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
39,2021-05-16,1521,59.0,1797.0,32.832498608792434,45.65579653417491,1328.0,60.0,147200.0,247219.0,38.0,21.0,2684.0,14.157973174366617,22.62838340362402,108.0,194.44444444444446,312.65968698429157
40,2021-05-15,1258,70.0,2035.0,34.3980343980344,49.40764090693498,1058.0,58.0,147162.0,247198.0,45.0,25.0,2356.0,19.100169779286926,23.954988988065207,87.0,287.35632183908046,329.6788582891772
41,2021-05-14,1457,72.0,2039.0,35.31142717018146,48.7340262653488,1250.0,63.0,147117.0,247173.0,43.0,29.0,2286.0,18.810148731408574,24.914640138362508,80.0,362.5,346.5439376542566
42,2021-05-13,1653,74.0,1694.0,43.68358913813459,49.604816507493545,1414.0,70.0,147074.0,247144.0,50.0,24.0,1636.0,30.562347188264056,26.225208239921905,56.0,428.57142857142856,369.01678644289484
43,2021-05-12,1765,93.0,1213.0,76.6694146743611,51.083290732211516,1525.0,81.0,147024.0,247120.0,52.0,41.0,1335.0,38.951310861423224,27.199119780597822,77.0,532.4675324675325,416.8692607659574
44,2021-05-11,1743,79.0,1124.0,70.2846975088968,51.82979667931181,1474.0,89.0,146972.0,247079.0,51.0,28.0,1555.0,32.79742765273312,27.789193542930146,72.0,388.8888888888889,442.72613341462403
45,2021-05-10,2169,76.0,1406.0,54.054054054054056,53.2826490800276,1896.0,66.0,146921.0,247051.0,48.0,28.0,1644.0,29.197080291970803,28.058204148368564,72.0,388.8888888888889,448.393835277978
46,2021-05-09,1845,76.0,1760.0,43.18181818181818,53.074491706578705,1605.0,72.0,146873.0,247023.0,40.0,36.0,1907.0,20.97535395909806,30.038970384812767,68.0,529.4117647058823,456.2169645296787
47,2021-05-08,1200,80.0,2019.0,39.623576027736505,49.8611570723504,1026.0,60.0,146833.0,246987.0,43.0,37.0,1851.0,23.23068611561318,32.84608800682387,79.0,468.3544303797468,461.43096235451395
48,2021-05-07,1543,77.0,1693.0,45.48139397519196,48.83056305952044,1294.0,90.0,146790.0,246950.0,40.0,37.0,1933.0,20.693222969477496,33.53216977071914,92.0,402.17391304347825,469.3674702910219
49,2021-05-06,1797,88.0,2084.0,42.22648752399232,49.99744422640161,1539.0,85.0,146750.0,246913.0,59.0,29.0,1328.0,44.42771084337349,35.321958462086414,60.0,483.3333333333333,491.3629351436296
50,2021-05-05,2035,96.0,1772.0,54.17607223476298,50.823215049511454,1788.0,81.0,146691.0,246884.0,62.0,33.0,1058.0,58.60113421550094,37.2903505194518,58.0,568.9655172413793,484.515751825858
51,2021-05-04,2039,76.0,1205.0,63.07053941908713,49.73843933408956,1745.0,100.0,146629.0,246851.0,47.0,28.0,1250.0,37.6,37.84840136899494,63.0,444.4444444444444,462.55179628204183
52,2021-05-03,1694,98.0,1575.0,62.22222222222222,49.28562041002042,1477.0,73.0,146582.0,246823.0,59.0,38.0,1414.0,41.72560113154172,38.2828234040967,70.0,542.8571428571428,485.1849602195536
53,2021-05-02,1213,92.0,1879.0,48.96221394358701,48.62635928009016,1029.0,62.0,146523.0,246785.0,53.0,39.0,1525.0,34.75409836065574,36.475393417126135,81.0,481.48148148148147,473.6770237116171
54,2021-05-01,1124,68.0,2123.0,32.030146019783324,46.85887234539175,937.0,53.0,146470.0,246746.0,40.0,28.0,1474.0,27.137042062415198,34.92641490068169,89.0,314.6067415730337,487.63433077237244
55,2021-04-30,1406,82.0,1938.0,42.31166150670795,51.81801933877983,1189.0,78.0,146430.0,246718.0,45.0,37.0,1896.0,23.734177215189874,37.06216230629,66.0,560.6060606060605,519.3803625184042
56,2021-04-29,1760,80.0,2127.0,37.61165961448049,51.49104578206153,1473.0,88.0,146385.0,246681.0,51.0,29.0,1605.0,31.77570093457944,35.74259485604933,72.0,402.77777777777777,539.3083337068796
57,2021-04-28,2019,89.0,2129.0,41.80366369187412,52.9979534039772,1728.0,100.0,146334.0,246652.0,49.0,40.0,1026.0,47.758284600389864,34.77261020689205,60.0,666.6666666666666,571.0543654529114
58,2021-04-27,1693,128.0,1309.0,97.78456837280366,55.71611054445021,1439.0,94.0,146285.0,246612.0,68.0,60.0,1294.0,52.55023183925812,34.98921778782414,90.0,666.6666666666666,596.1105452281923
59,2021-04-26,2084,108.0,1802.0,59.933407325194224,58.965546398761,1755.0,100.0,146217.0,246552.0,50.0,58.0,1539.0,32.48862897985705,37.88549598234629,85.0,682.3529411764706,631.4838477247824
60,2021-04-25,1772,107.0,1798.0,59.51056729699666,59.47555742454758,1536.0,82.0,146167.0,246494.0,50.0,57.0,1788.0,27.96420581655481,39.59350705250008,81.0,703.7037037037037,682.239096060676
61,2021-04-24,1205,99.0,1939.0,51.05724600309438,62.99727635464152,991.0,82.0,146117.0,246437.0,50.0,49.0,1745.0,28.65329512893983,42.22355543326464,100.0,490.0,759.507739367055
62,2021-04-23,1575,124.0,1906.0,65.05771248688352,56.435459708791264,1301.0,100.0,146067.0,246388.0,65.0,59.0,1477.0,44.008124576844956,40.483530723799554,73.0,808.2191780821918,755.8447357040515
63,2021-04-22,1879,92.0,2234.0,41.18173679498657,56.39679803606108,1605.0,110.0,146002.0,246329.0,45.0,47.0,1029.0,43.731778425655975,42.14624525320219,62.0,758.0645161290322,776.8722376139063
64,2021-04-21,2123,126.0,1896.0,66.45569620253164,54.35210843834648,1776.0,128.0,145957.0,246282.0,62.0,64.0,937.0,66.16862326574173,42.780988337609706,53.0,1207.5471698113206,756.3431370848058
65,2021-04-20,1938,98.0,1890.0,51.85185185185185,54.518840634091205,1623.0,120.0,145895.0,246218.0,48.0,50.0,1189.0,40.37005887300253,45.43838020790213,78.0,641.0256410256411,788.1668452914927
66,2021-04-19,2127,138.0,2313.0,59.66277561608301,51.80970313596499,1761.0,137.0,145847.0,246168.0,65.0,73.0,1473.0,44.12763068567549,44.44251055935814,88.0,829.5454545454546,748.4212484226082
67,2021-04-18,2129,112.0,2478.0,45.19774011299435,54.21858012033228,1848.0,83.0,145782.0,246095.0,56.0,56.0,1728.0,32.407407407407405,44.24050054616919,100.0,560.0,748.1402548292621
68,2021-04-17,1309,135.0,2585.0,52.22437137330754,56.30190366839363,1070.0,79.0,145726.0,246039.0,68.0,67.0,1439.0,47.2550382209868,47.185129974401846,94.0,712.7659574468084,697.584735796983
69,2021-04-16,1802,118.0,2560.0,46.09375,59.73633299568009,1464.0,137.0,145658.0,245972.0,65.0,53.0,1755.0,37.03703703703704,50.312235871648326,100.0,530.0,708.8667870790341
70,2021-04-15,1798,127.0,2188.0,58.04387568555759,62.83786095161395,1527.0,110.0,145593.0,245919.0,65.0,62.0,1536.0,42.317708333333336,52.018969538714714,82.0,756.0975609756098,698.1525013647484
71,2021-04-14,1939,156.0,1925.0,81.03896103896103,65.1100912148015,1603.0,136.0,145528.0,245857.0,86.0,70.0,991.0,86.78102926337033,55.352660372405545,82.0,853.6585365853658,702.973929936177
72,2021-04-13,1906,153.0,2016.0,75.89285714285714,64.51716127967806,1565.0,148.0,145442.0,245787.0,81.0,72.0,1301.0,62.2598001537279,55.29149260260874,100.0,720.0,690.4359360152042
73,2021-04-12,2234,173.0,2126.0,81.37347130761995,66.01129103876085,1838.0,148.0,145361.0,245715.0,90.0,83.0,1605.0,56.074766355140184,56.81479736271076,110.0,754.5454545454545,701.2701383092607
74,2021-04-11,1896,175.0,2864.0,61.10335195530726,65.17000925303962,1619.0,90.0,145271.0,245632.0,99.0,76.0,1776.0,55.74324324324324,58.49977533117088,128.0,593.75,706.8534471543973
75,2021-04-10,1890,151.0,3141.0,48.073861827443494,60.18964320883636,1524.0,144.0,145172.0,245556.0,76.0,75.0,1623.0,46.82686383240912,59.05308623747179,120.0,625.0,751.2675079315331
76,2021-04-09,2313,167.0,2953.0,56.552658313579414,58.23388979938285,1866.0,164.0,145096.0,245481.0,84.0,83.0,1761.0,47.70017035775128,60.79505077444899,137.0,605.8394160583942,725.5740772745987
77,2021-04-08,2478,167.0,3202.0,52.154903185509056,54.02820842078836,2076.0,146.0,145012.0,245398.0,100.0,66.0,1848.0,54.112554112554115,62.13978197247508,83.0,795.1807228915662,732.0675837681052
78,2021-04-07,2585,189.0,4093.0,46.176398729538235,50.31507402840773,2150.0,148.0,144912.0,245332.0,97.0,92.0,1070.0,90.65420560747664,61.75154394387523,79.0,1164.5569620253164,721.8259871294497
79,2021-04-06,2560,183.0,2942.0,62.20258327668253,48.454512548289294,2114.0,162.0,144815.0,245240.0,109.0,74.0,1464.0,74.4535519125683,63.36870123299251,137.0,540.1459854014598,717.4823577858205
80,2021-04-05,2188,188.0,3620.0,51.93370165745856,46.24008429157868,1843.0,135.0,144706.0,245166.0,100.0,88.0,1527.0,65.48788474132286,63.39412381051879,110.0,800.0,717.8064566500653
81,2021-04-04,1925,156.0,4443.0,35.11141120864281,43.79021730875134,1619.0,98.0,144606.0,245078.0,85.0,71.0,1603.0,53.025577043044294,63.69340686811826,136.0,522.0588235294118,745.47905179254
82,2021-04-03,2016,179.0,5107.0,35.049931466614446,44.31113921617274,1676.0,108.0,144521.0,245007.0,91.0,88.0,1565.0,58.146964856230035,61.991399992809455,148.0,594.5945945945946,683.2804381698758
83,2021-04-02,2126,178.0,4336.0,41.05166051660517,44.63206509794158,1750.0,133.0,144430.0,244919.0,88.0,90.0,1838.0,47.87812840043525,60.465574861217625,148.0,608.1081081081081,691.4825796282038
84,2021-04-01,2864,180.0,5142.0,35.00583430571762,44.32475109329602,2427.0,142.0,144342.0,244829.0,91.0,89.0,1619.0,56.207535515750465,58.61085089184064,90.0,988.8888888888889,672.1088027201803
85,2021-03-31,3141,225.0,4516.0,49.82285208148804,46.29057527079387,2650.0,162.0,144251.0,244740.0,120.0,105.0,1524.0,78.74015748031496,58.14540300861505,144.0,729.1666666666666,707.5675808260172
86,2021-03-30,2953,217.0,3367.0,64.44906444906445,47.67256009366476,2443.0,186.0,144131.0,244635.0,119.0,98.0,1866.0,63.77277599142551,56.93424719660868,164.0,597.560975609756,720.5090937675302
87,2021-03-29,3202,206.0,4138.0,49.78250362493959,49.19200340744691,2658.0,170.0,144012.0,244537.0,109.0,97.0,2076.0,52.50481695568401,59.551145836868955,146.0,664.3835616438356,763.7952370536733
88,2021-03-28,4093,221.0,4522.0,48.87218045112782,51.758368232581915,3586.0,152.0,143903.0,244440.0,107.0,114.0,2150.0,49.76744186046512,64.05127819370298,148.0,770.2702702702703,835.3533841220245
89,2021-03-27,2942,217.0,4852.0,44.72382522671064,55.6850346729961,2461.0,145.0,143796.0,244326.0,105.0,111.0,2114.0,49.668874172185426,64.65062153354206,162.0,685.1851851851852,911.0808973495378
90,2021-03-26,3620,245.0,4740.0,51.687763713080166,58.69688807626731,3000.0,210.0,143691.0,244215.0,122.0,123.0,1843.0,66.19641888225719,67.94838822864455,135.0,911.1111111111111,977.165097396694
91,2021-03-25,4443,288.0,5437.0,52.97038808166268,60.687832663378856,3785.0,239.0,143569.0,244092.0,142.0,146.0,1619.0,87.70846201358863,68.92377284507604,98.0,1489.795918367347,1033.1585926145767
92,2021-03-24,5107,277.0,3583.0,77.30951716438739,62.211671527046164,4390.0,232.0,143427.0,243946.0,139.0,136.0,1676.0,82.93556085918854,69.52303317228724,108.0,1259.2592592592594,1043.0494358387532
93,2021-03-23,4336,295.0,3449.0,85.53203827196289,64.01108968704673,3718.0,194.0,143288.0,243810.0,152.0,141.0,1750.0,86.85714285714286,70.61413547024355,133.0,1060.1503759398497,1058.069063761607
