,2021-07-05 00:15:03.603163,2021-07-05 00:45:06.905986,2021-07-05 01:15:03.191166,2021-07-05 01:45:05.836121,2021-07-05 02:15:01.994566,2021-07-05 02:45:06.659465,2021-07-05 03:15:03.185306,2021-07-05 03:45:08.199680,2021-07-05 04:15:03.595812,2021-07-05 04:45:06.598858,2021-07-05 05:15:03.144987,2021-07-05 05:45:06.678942,2021-07-05 06:15:05.436546,2021-07-05 06:45:06.158126,2021-07-05 07:15:02.824745,2021-07-05 07:45:03.330691,2021-07-05 08:15:01.879518,2021-07-05 08:45:02.299619,2021-07-05 09:15:02.951247,2021-07-05 09:45:02.658669,2021-07-05 10:15:06.438531
/article/an-open-letter-from-christian-leaders-concerning-vaccine-passports,,,,,,,,,,,,,2.0,,,,,1.0,,,
/article/an-open-letter-on-why-covid-restrictions-must-end-in-june,,,,,,,,,,,,,,,,,,1.0,,,
/article/an-orange-or-an-egg-determining-the-shape-of-the-world,,,,1.0,,,,,,4.0,1.0,,2.0,,,3.0,2.0,1.0,1.0,1.0,
/article/an-unrewarding-slog-thomas-vinterbergs-another-round-reviewed,50.0,24.0,23.0,24.0,20.0,19.0,26.0,19.0,15.0,10.0,21.0,24.0,27.0,32.0,50.0,63.0,57.0,62.0,49.0,74.0,72.0
/article/an-unsuitable-attachment-to-nazism-barbara-pym-in-the-1930s,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,
/article/anas-sarwar-s-independence-problem,,,,,,,,,,,,,,,,,,1.0,,,
/article/anas-sarwar-shows-how-to-unite-scotland,,,,,,,,,,,,,,,,,,1.0,,,
/article/and-then-there-were-five-the-high-house-by-jessie-greengrass-reviewed,,,,1.0,,,,,,1.0,1.0,,,,,1.0,2.0,1.0,,,
/article/andy-burnham-is-labour-s-king-over-the-water,,,,,,1.0,,,,,,,,,,,1.0,,,,
/article/andy-burnham-makes-life-more-difficult-for-Starmer,,,,,,,,,,,,,,,,,,1.0,,,
/article/andy-burnham-turns-the-tables-on-nicola-sturgeon,,,,,,,,,1.0,1.0,,,1.0,1.0,,2.0,2.0,2.0,2.0,4.0,1.0
/article/andy-haldane-s-inflation-warning,,,,,,,,,,,,,,,,,1.0,,,,
/article/andy-street-s-success-is-part-of-the-english-political-realignment,,,,,,,,,,,,,,,1.0,,,1.0,,,
/article/angelas-ashes-merkel-is-leaving-the-eu-in-chaos,71.0,79.0,40.0,101.0,49.0,30.0,29.0,25.0,21.0,17.0,26.0,29.0,38.0,54.0,76.0,89.0,70.0,85.0,85.0,109.0,102.0
/article/anglican-bishop-never-trust-a-tory-,,,,,,,,,,,,,,,,,1.0,,,,
/article/animal-sentience-law-has-finally-caught-up-with-plutarchs-thinking,,,,,,,,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,
/article/annoying-but-good-black-midis-cavalcade-reviewed,2.0,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,1.0,,2.0,
/article/another-dimbleby-heads-to-westminster,,,,,,,,,1.0,,,,,,,,,1.0,,,
/article/anthony-hopkinss-portrayal-of-dementia-will-undo-you-the-father-reviewed,,,,,,,1.0,,,,,,,,,,,,,,1.0
/article/apostle-of-modernism-clive-bell-s-reputation-repaired,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,
/article/apple-s-new-series-damn-near-cost-me-my-marriage-calls-reviewed,,,,,,,,,,,,,,,1.0,,,,,,
/article/apples-cowardly-surrender-to-the-mob,2.0,1.0,2.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0
/article/are-controversial-stickers-really-a-matter-for-the-police-,,1.0,,,,1.0,,,3.0,,1.0,,,,1.0,1.0,4.0,,1.0,,
/article/are-england-fans-allowed-to-be-proud-of-the-st-george-s-cross-,,,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,2.0,
/article/are-hancock-s-health-reforms-doomed-from-the-start-,,,,,,8.0,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0
/article/are-meghan-s-covid-claims-correct-,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,
/article/are-mozart-s-forgotten-contemporaries-worth-reviving-,,,,,,,,,,,,,,,,,,,,1.0,
/article/are-mps-set-to-lose-their-favourite-bar-,,,,,,,,,,,,,,,,,1.0,,,,
/article/are-pcr-tests-the-best-way-to-track-covid-,,,,,,,,,1.0,,,,,,,,1.0,,,,
/article/are-plans-to-be-abandon-the-office-premature-,,,,,,,,,,,,,,,,,,1.0,,,
/article/are-wall-streets-spacs-about-to-make-waves-in-the-city,,,,,,,,,,,,1.0,,,,,,,,,
/article/are-we-heading-for-another-winter-lockdown-,53.0,12.0,7.0,16.0,12.0,6.0,18.0,23.0,5.0,13.0,9.0,7.0,9.0,21.0,28.0,46.0,54.0,43.0,45.0,70.0,55.0
/article/are-we-overusing-overhaul,,,,,,1.0,,,,,,,,,1.0,,,,,,
/article/are-we-witnessing-the-dup-s-corbyn-moment-,,,,,,,,,1.0,,,,,,,,1.0,,,,
/article/arthur-bryant-monstrous-chronicler-of-merrie-england,3.0,,1.0,,,5.0,1.0,,,,,,,,,,2.0,,,,
/article/assisted-dying-campaigns-should-not-be-trusted,1353.0,841.0,590.0,636.0,449.0,450.0,457.0,322.0,395.0,303.0,316.0,338.0,740.0,1129.0,1021.0,1060.0,1289.0,1041.0,1282.0,1136.0,1095.0
/article/astonishing-relentlessly-pleasurable-rediscovery–tantric-opera-luigi-rossi-s-Il-palazzo-incantato-reviewed,1.0,,,,,,,,,,,,,,,,,,,,
/article/at-last-some-genuine-gala-material-royal-ballets-balanchine-and-robbins-reviewed,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,
/article/at-last-the-lib-dems-have-behaved-like-liberals,,,,,,,,,,,,,,,1.0,,,,,,
/article/audiences-don-t-want-woke-comic-book-writer-mark-millar-interviewed,1.0,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,1.0,1.0
/article/austria-s-islam-map-is-dangerous,,,,,,,,,,,,,,,,,1.0,,,,
/article/bad-food-is-back-the-roof-garden-at-pantechnicon-reviewed,,,,,,1.0,,,,1.0,,,1.0,,1.0,2.0,2.0,,1.0,,
/article/bad-news-boris-childcare-has-cost-me-500000-and-counting,2.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,3.0,2.0,2.0,,2.0,3.0,3.0,5.0
/article/banning-compulsory-vaccines-is-no-matter-for-europe-s-human-rights-judges,,,,,,1.0,,,,,,,,,,,,1.0,,,
/article/barristers-should-stay-out-of-the-israeli-palestine-conflict,,,,,,,,,1.0,,,,,,,,,,,,
/article/batley-grammar-and-the-dilemma-for-trainee-teachers,,,,,,,,,1.0,,,,,,,,,1.0,,,
/article/batley-grammar-and-the-triumph-of-the-mob,,,,,1.0,,,,,,,,,,,,1.0,,,,
/article/batley-labour-frontrunner-s-bizarre-netanyahu-theory,,,,,,,,,,,,,,,,,,1.0,,,
/article/battle-royal-harry-and-meghans-modern-brand-of-revenge,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,
/article/bbc-journalist-hitler-was-right-,,,,,,,,,,,,,,,,,1.0,,,,
/article/bbc-makes-a-cameo-in-snp-election-campaign,,,,,,,,,,,,,,,,,,1.0,,,
/article/bbc-newsnight-chased-by-anti-lockdown-mob,,,,,,,,,,,,,,,,,1.0,,,,
/article/be-warned-nicola-sturgeon-is-no-progressive,,,,,,,,,,,,,,,,,,1.0,,,
/article/beijing-is-quietly-challenging-brussels,,,,,,,,,,,,,,,,,,1.0,,,
